part_number,manufacturer,family,description,component_type,target_file,verified_url
744066470,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066470.pdf
744053470,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053470.pdf
744878470,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""S""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744878470.pdf
7448709220,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""XXL""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7448709220.pdf
744062152,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744062152.pdf
744065220,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744065220.pdf
744065150,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744065150.pdf
744065330,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744065330.pdf
744065470,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744065470.pdf
744065121,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744065121.pdf
744065151,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744065151.pdf
744066151,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066151.pdf
744878101,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""S""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744878101.pdf
744066681,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066681.pdf
744052471,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744052471.pdf
744871101,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""L""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744871101.pdf
744877101,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""M""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744877101.pdf
744028001,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744028001.pdf
744028002,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744028002.pdf
744028004,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744028004.pdf
744028006,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744028006.pdf
744029002,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744029002.pdf
744029001,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744029001.pdf
744029003,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744029003.pdf
744029004,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744029004.pdf
744029006,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744029006.pdf
744029100,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744029100.pdf
744043471,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744043471.pdf
744042330,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744042330.pdf
74479152J,Wurth Elektronik,WE-MI,SMT-Induktivität WE-MI,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74479152J.pdf
7447915J,Wurth Elektronik,WE-MI,SMT-Induktivität WE-MI,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7447915J.pdf
74402800033,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74402800033.pdf
74402900033,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74402900033.pdf
744877330,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""M""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744877330.pdf
74404300033,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74404300033.pdf
74404300047,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74404300047.pdf
74404300082,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74404300082.pdf
74407000018,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74407000018.pdf
74407000047,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74407000047.pdf
74407000082,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74407000082.pdf
7440700012,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440700012.pdf
7440700022,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440700022.pdf
7440700033,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440700033.pdf
7440700047,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440700047.pdf
